Package,Built
abind,3.5.0
acepack,3.5.0
akima,3.5.0
Amelia,3.5.0
annotate,3.5.0
AnnotationDbi,3.5.0
assertthat,3.5.0
ATE,3.5.0
backports,3.5.0
base64enc,3.5.0
bayesplot,3.5.0
BH,3.5.0
bindr,3.5.0
bindrcpp,3.5.0
binom,3.5.0
Biobase,3.5.0
BiocGenerics,3.5.0
BiocInstaller,3.5.0
BiocParallel,3.5.0
bit,3.5.0
bit64,3.5.0
bitops,3.5.0
blob,3.5.0
brew,3.5.0
broom,3.5.0
callr,3.5.0
caTools,3.5.0
CCA,3.5.0
cci,3.5.0
cellranger,3.5.0
cem,3.5.0
checkmate,3.5.0
cli,3.5.0
clipr,3.5.2
clisymbols,3.5.0
clusterGeneration,3.5.0
coda,3.5.0
colorspace,3.5.0
colourpicker,3.5.0
combinat,3.5.0
commonmark,3.5.0
CompQuadForm,3.5.0
crayon,3.5.0
crosstalk,3.5.0
curl,3.5.0
data.table,3.5.0
DBI,3.5.0
dbplyr,3.5.0
DelayedArray,3.5.0
desc,3.5.0
DESeq2,3.5.0
devtools,3.5.0
DiceKriging,3.5.0
dichromat,3.5.0
digest,3.5.0
DiscreteFDR,3.5.0
Dmisc,3.5.0
dotCall64,3.5.0
dplyr,3.5.1
DT,3.5.0
dtrslim,3.5.0
dtw,3.5.0
dygraphs,3.5.0
edgeR,3.5.0
evaluate,3.5.0
expm,3.5.0
extrafont,3.5.0
extrafontdb,3.5.0
face,3.5.0
fcr,3.5.0
fda,3.5.0
fda.usc,3.5.0
fdapace,3.5.0
fields,3.5.0
forcats,3.5.0
foreach,3.5.0
formatR,3.5.0
Formula,3.5.0
fs,3.5.0
futile.logger,3.5.0
futile.options,3.5.0
gam,3.5.0
gamm4,3.5.0
gbm,3.5.0
gdata,3.5.0
genefilter,3.5.0
geneplotter,3.5.0
GenomeInfoDb,3.5.0
GenomeInfoDbData,3.5.0
GenomicRanges,3.5.0
GGally,3.5.0
ggcorrplot,3.5.0
ggforce,3.5.0
ggplot2,3.5.0
ggraph,3.5.0
ggrepel,3.5.0
ggridges,3.5.0
ggthemes,3.5.0
gh,3.5.0
git2r,3.5.2
glmnet,3.5.0
glue,3.5.0
grf,3.5.0
gridExtra,3.5.0
grpreg,3.5.0
GSA,3.5.0
gtable,3.5.0
gtools,3.5.0
haven,3.5.0
heiipkg,3.5.0
here,3.5.0
highr,3.5.0
Hmisc,3.5.0
hms,3.5.0
hrbrthemes,3.5.0
htmlTable,3.5.0
htmltools,3.5.0
htmlwidgets,3.5.0
httpuv,3.5.0
httr,3.5.0
icd,3.5.0
icd.data,3.5.0
igraph,3.5.0
ini,3.5.0
inline,3.5.0
IRanges,3.5.0
ISLR,3.5.0
iterators,3.5.0
janitor,3.5.0
jomo,3.5.0
jsonlite,3.5.0
knitr,3.5.0
labeling,3.5.0
lambda.r,3.5.0
later,3.5.0
latticeExtra,3.5.0
lavaan,3.5.0
lazyeval,3.5.0
limma,3.5.0
listdtr,3.5.0
lme4,3.5.0
locfit,3.5.0
lsa,3.5.0
ltm,3.5.0
lubridate,3.5.0
magic,3.5.0
magrittr,3.5.0
maps,3.5.0
markdown,3.5.0
Matching,3.5.0
MatchIt,3.5.0
matrixcalc,3.5.0
MatrixModels,3.5.0
matrixStats,3.5.0
mcmc,3.5.0
MCMCpack,3.5.0
memoise,3.5.0
mice,3.5.0
mime,3.5.0
miniUI,3.5.0
minqa,3.5.0
mitml,3.5.0
mnormt,3.5.0
modelr,3.5.0
msm,3.5.0
multcomp,3.5.0
munsell,3.5.0
mvnfast,3.5.0
mvtnorm,3.5.0
nloptr,3.5.0
numDeriv,3.5.0
openssl,3.5.0
orthogonalsplinebasis,3.5.0
packrat,3.5.0
pan,3.5.0
pander,3.5.0
patchwork,3.5.0
pbivnorm,3.5.0
pbs,3.5.0
pillar,3.5.0
pkgconfig,3.5.0
PKI,3.5.0
plogr,3.5.0
plyr,3.5.0
polspline,3.5.0
polycor,3.5.0
powerSurvEpi,3.5.0
pracma,3.5.0
praise,3.5.0
prettyunits,3.5.0
processx,3.5.0
progress,3.5.0
ProjectTemplate,3.5.0
promises,3.5.0
proxy,3.5.0
pryr,3.5.0
psych,3.5.0
purrr,3.5.0
pwr,3.5.0
quadprog,3.5.0
quantreg,3.5.0
R6,3.5.0
randomForest,3.5.0
rapportools,3.5.0
RColorBrewer,3.5.0
Rcpp,3.5.0
RcppArmadillo,3.5.0
RcppEigen,3.5.0
RCurl,3.5.0
readr,3.5.0
readxl,3.5.0
refund,3.5.0
rematch,3.5.0
reprex,3.5.0
reshape,3.5.0
reshape2,3.5.0
RJSONIO,3.5.0
rlang,3.5.0
RLRsim,3.5.0
rmarkdown,3.5.0
rms,3.5.0
roxygen2,3.5.0
rprojroot,3.5.0
rsconnect,3.5.0
RSQLite,3.5.0
rstan,3.5.0
rstudioapi,3.5.0
Rsurrogate,3.5.0
Rttf2pt1,3.5.0
rvest,3.5.0
S4Vectors,3.5.0
sandwich,3.5.0
scales,3.5.0
selectr,3.5.0
servr,3.5.0
shiny,3.5.0
shinyjs,3.5.0
shinystan,3.5.0
shinythemes,3.5.0
snakecase,3.5.0
snow,3.5.0
sourcetools,3.5.0
sp,3.5.0
spam,3.5.0
sparsefreg,3.5.0
SparseM,3.5.0
StanHeaders,3.5.0
statmod,3.5.0
stringdist,3.5.0
stringi,3.5.0
stringr,3.5.0
SummarizedExperiment,3.5.0
summarytools,3.5.0
survey,3.5.0
tcgsaseq,3.5.0
testthat,3.5.0
TH.data,3.5.0
threejs,3.5.0
tibble,3.5.0
tidygraph,3.5.0
tidyr,3.5.0
tidyselect,3.5.0
tidyverse,3.5.0
tinytex,3.5.0
twang,3.5.0
tweenr,3.5.0
units,3.5.0
useful,3.5.0
usethis,3.5.0
utf8,3.5.0
viridis,3.5.0
viridisLite,3.5.0
weights,3.5.0
wesanderson,3.5.0
whisker,3.5.0
withr,3.5.0
xaringan,3.5.0
xfun,3.5.0
XML,3.5.0
xml2,3.5.0
xtable,3.5.0
xts,3.5.0
XVector,3.5.0
yaml,3.5.0
zeallot,3.5.0
zlibbioc,3.5.0
zoo,3.5.0
